Assembly	out_pacbio_10x_assembly	out_pacbio_20x_assembly	out_pacbio_40x_assembly	out_illumina_pacbio_10x_contigs	out_illumina_pacbio_20x_contigs	out_illumina_pacbio_40x_contigs	out_illumina_pacbio_80x_contigs	out_illumina_contigs
# misassemblies	16	9	8	6	6	6	6	0
  # contig misassemblies	16	9	8	6	6	6	6	0
    # c. relocations	13	7	6	6	6	6	6	0
    # c. translocations	0	0	0	0	0	0	0	0
    # c. inversions	3	2	2	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	10	5	1	2	1	1	1	0
Misassembled contigs length	586450	1365787	4642048	1963782	4636416	4641722	4641722	0
# local misassemblies	8	4	2	6	5	5	5	4
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0
# mismatches	1633	328	51	328	380	386	386	47
# indels	22635	3813	486	33	36	40	40	15
    # indels (<= 5 bp)	22617	3806	486	31	33	37	37	12
    # indels (> 5 bp)	18	7	0	2	3	3	3	3
Indels length	24116	4071	503	82	179	183	183	77
